timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
5290.279,138.672,32.227,22.949,37.109,12.207,0
5290.283,0.000,35.645,27.344,19.531,40.527,0
5290.287,-80.078,32.227,28.809,6.836,13.184,0
5290.291,42.969,27.832,23.438,23.926,10.742,0
5290.295,165.527,25.391,20.508,50.781,42.969,0
5290.299,63.965,27.344,24.414,44.922,59.570,0
5290.303,-70.312,26.855,29.785,19.531,15.625,0
5290.307,4.395,22.461,25.391,24.414,50.781,0
5290.311,156.250,20.508,21.973,53.223,79.590,0
5290.315,102.539,22.461,27.344,52.246,36.621,0
5290.318,-58.594,26.367,30.762,28.320,4.883,0
5290.322,-37.598,25.879,26.855,30.273,2.441,0
5290.326,119.629,23.438,21.973,53.223,40.527,0
5290.330,128.906,24.414,20.508,56.641,42.480,0
5290.334,-32.715,28.809,24.902,32.227,17.090,0
5290.338,-73.242,29.785,24.902,19.043,11.230,0
5290.342,76.172,25.391,19.531,36.621,10.254,0
5290.346,160.156,24.414,22.461,55.664,62.988,0
5290.350,16.602,26.855,29.785,40.039,50.293,0
5290.354,-87.891,23.438,28.809,22.949,11.719,0
5290.358,24.902,20.508,21.973,29.785,58.105,0
5290.361,149.414,25.391,17.090,46.387,68.359,0
5290.365,56.152,26.855,21.484,39.551,51.758,0
5290.369,-83.496,24.902,25.391,20.508,22.949,0
5290.373,-18.555,25.391,23.438,32.227,-12.695,0
5290.377,143.066,23.438,22.949,59.082,33.691,0
5290.381,105.957,25.391,26.367,57.617,41.016,0
5290.385,-56.152,29.297,27.344,29.297,-8.789,0
5290.389,-40.527,28.809,27.832,31.250,-15.625,0
5290.393,114.258,24.414,28.809,59.082,47.363,0
5290.397,143.555,22.461,28.320,64.941,-7.812,0
5290.401,-16.113,27.344,35.156,43.457,-20.508,0
5290.404,-83.984,25.879,36.621,27.344,58.105,0
5290.408,59.570,18.555,29.785,49.805,81.055,0
5290.412,149.902,23.926,28.320,66.406,24.414,0
5290.416,20.996,32.227,29.785,49.805,18.555,0
5290.420,-82.031,34.180,32.227,40.039,43.457,0
5290.424,19.531,30.762,30.762,49.316,5.371,0
5290.428,156.250,26.855,25.391,63.965,60.547,0
5290.432,73.242,28.320,28.809,54.199,42.969,0
5290.436,-84.473,28.809,28.809,27.832,-2.441,0
5290.440,-40.039,27.344,21.484,30.762,11.230,0
5290.443,127.441,24.902,20.020,56.641,9.277,0
5290.447,108.398,26.855,22.461,55.664,-4.395,0
5290.451,-67.383,30.762,27.344,29.297,-3.906,0
5290.455,-74.707,27.344,26.367,24.414,32.227,0
5290.459,85.449,22.949,24.414,51.758,56.641,0
5290.463,130.371,27.832,28.809,60.059,85.938,0
5290.467,-18.066,25.879,30.273,30.273,66.895,0
5290.471,-88.867,19.043,29.297,15.625,17.578,0
5290.475,40.039,21.484,25.391,32.715,-0.488,0
5290.479,151.855,26.367,27.344,53.711,26.855,0
5290.483,31.250,26.855,31.738,44.922,54.688,0
5290.486,-96.680,28.809,30.273,29.785,31.738,0
5290.490,-8.301,30.762,27.832,39.062,13.184,0
5290.494,135.254,29.297,25.879,58.105,21.973,0
5290.498,67.383,31.738,32.227,52.734,17.578,0
5290.502,-91.797,35.156,36.133,32.227,1.953,0
5290.506,-55.664,29.297,30.273,29.785,-15.625,0
5290.510,105.469,24.414,23.926,55.176,15.625,0
5290.514,103.516,23.438,23.926,60.059,13.184,0
5290.518,-57.129,27.344,31.738,32.227,-0.488,0
5290.522,-81.543,31.250,31.250,29.297,11.230,0
5290.526,74.707,29.785,23.438,52.246,24.414,0
5290.529,135.254,28.320,24.414,57.129,16.113,0
5290.533,-7.812,32.715,28.320,37.598,-30.273,0
5290.537,-86.914,36.133,27.344,23.438,-30.273,0
5290.541,36.133,32.715,24.902,41.992,-23.926,0
5290.545,146.484,29.297,20.508,51.758,2.441,0
5290.549,42.480,30.273,24.414,32.715,31.250,0
5290.553,-88.379,32.715,28.809,22.949,54.199,0
5290.557,-19.531,32.715,24.902,26.367,101.074,0
5290.561,130.859,30.762,23.926,50.293,47.852,0
5290.565,75.195,30.273,24.414,40.527,3.418,0
5290.568,-84.961,32.227,26.855,13.184,17.578,0
5290.572,-56.152,27.832,28.809,20.996,23.926,0
5290.576,103.516,21.484,24.902,42.480,44.434,0
5290.580,117.188,28.809,30.273,53.711,83.496,0
5290.584,-44.434,38.086,35.645,36.621,50.781,0
5290.588,-82.031,32.227,31.250,22.949,-2.930,0
5290.592,70.312,26.367,23.438,41.016,16.602,0
5290.596,145.020,27.344,20.996,52.734,14.648,0
5290.600,8.301,32.227,26.367,34.180,-32.227,0
5290.604,-87.402,33.203,26.855,16.602,-58.105,0
5290.608,25.879,28.809,21.973,25.879,9.766,0
5290.611,156.738,28.320,22.461,50.293,36.133,0
5290.615,60.059,34.180,27.344,36.621,42.480,0
5290.619,-78.125,39.551,30.762,10.742,103.027,0
5290.623,-12.207,36.621,26.855,20.996,66.895,0
5290.627,150.879,34.668,25.879,51.270,47.852,0
5290.631,111.328,37.109,28.809,40.527,67.383,0
5290.635,-65.430,38.574,32.227,6.836,44.922,0
5290.639,-54.688,35.645,33.691,11.719,-12.695,0
5290.643,107.422,31.250,26.367,42.480,16.602,0
5290.647,130.859,29.785,21.484,45.410,68.359,0
5290.651,-23.438,31.738,26.367,17.090,70.801,0
5290.654,-70.801,32.715,27.344,14.648,54.688,0
5290.658,62.500,30.762,23.438,40.039,-23.438,0
5290.662,151.367,27.832,24.414,51.270,-4.395,0
5290.666,37.598,29.785,29.785,36.621,18.555,0
5290.670,-74.707,31.250,31.738,18.555,5.371,0
5290.674,11.230,27.832,26.367,26.855,-4.395,0
5290.678,144.531,25.879,21.973,52.246,14.160,0
5290.682,62.500,30.273,27.832,44.434,39.551,0
5290.686,-89.844,29.785,33.203,14.648,-51.758,0
5290.690,-34.668,26.367,29.785,12.695,-28.809,0
5290.693,124.512,29.297,23.926,38.574,6.348,0
5290.697,104.980,31.738,24.902,41.504,0.977,0
5290.701,-57.129,31.738,31.250,20.020,44.922,0
5290.705,-66.406,31.250,32.227,5.859,6.348,0
5290.709,94.238,30.273,26.855,22.949,16.602,0
5290.713,143.555,31.738,26.367,46.387,15.137,0
5290.717,-7.812,35.645,33.691,33.203,-10.742,0
5290.721,-83.008,34.668,38.086,19.531,35.156,0
5290.725,48.340,30.762,34.668,39.551,22.461,0
5290.729,157.715,26.855,31.250,56.641,14.160,0
5290.733,43.457,29.785,32.715,26.367,40.527,0
5290.736,-79.102,30.273,31.250,11.719,56.641,0
5290.740,14.160,22.461,27.832,28.809,22.461,0
5290.744,164.551,22.461,21.973,52.734,0.977,0
5290.748,89.355,29.297,22.949,41.504,7.812,0
5290.752,-70.801,34.180,27.344,5.371,-28.809,0
5290.756,-33.203,31.250,24.902,9.766,15.137,0
5290.760,120.117,23.926,22.461,30.273,23.926,0
5290.764,114.258,26.367,28.320,37.109,47.363,0
5290.768,-47.852,32.715,34.668,14.160,69.336,0
5290.772,-69.824,33.203,31.738,-1.465,8.789,0
5290.776,89.355,31.250,24.902,24.902,30.273,0
5290.779,153.809,30.273,24.414,39.551,43.457,0
5290.783,1.465,32.715,27.344,12.207,54.688,0
5290.787,-91.797,32.227,26.367,-6.836,18.555,0
5290.791,35.156,29.785,25.391,10.742,25.391,0
5290.795,160.645,30.273,25.391,33.203,34.180,0
5290.799,54.688,34.180,30.273,21.973,19.531,0
5290.803,-85.938,35.645,33.203,-2.930,15.137,0
5290.807,-17.090,29.785,29.785,1.953,-19.043,0
5290.811,141.113,20.020,27.344,29.297,-3.418,0
5290.815,89.844,22.949,28.320,30.762,-4.395,0
5290.818,-80.078,32.227,36.133,10.742,12.695,0
5290.822,-54.199,32.715,34.668,10.742,20.020,0
5290.826,111.328,26.855,25.879,35.645,3.418,0
5290.830,124.023,26.855,27.344,43.945,-8.789,0
5290.834,-41.992,29.297,32.227,16.602,0.488,0
5290.838,-81.543,26.367,30.273,10.254,55.664,0
5290.842,69.336,25.391,25.879,34.668,39.551,0
5290.846,146.484,25.391,25.879,48.340,31.250,0
5290.850,7.812,30.273,30.273,31.250,49.316,0
5290.854,-88.867,32.715,31.250,14.648,25.879,0
5290.858,29.297,27.344,24.902,26.855,9.277,0
5290.861,153.809,25.879,25.391,51.270,68.848,0
5290.865,54.688,30.273,32.227,41.016,90.820,0
5290.869,-89.355,29.785,31.738,9.766,55.176,0
5290.873,-29.297,26.367,28.320,9.766,69.336,0
5290.877,129.883,28.320,20.996,35.156,58.105,0
5290.881,93.262,36.621,25.879,34.180,41.504,0
5290.885,-68.848,39.062,35.156,15.625,65.918,0
5290.889,-68.848,30.273,27.832,6.836,26.855,0
5290.893,81.055,25.879,22.461,20.020,13.672,0
5290.897,120.117,34.180,35.156,31.738,-1.953,0
5290.901,-45.898,37.598,40.039,0.977,25.391,0
5290.904,-125.977,29.297,35.645,-22.461,64.941,0
5290.908,4.883,22.949,34.180,-7.812,5.859,0
5290.912,84.961,23.438,27.832,-10.254,25.391,0
5290.916,-62.988,31.250,33.203,-55.176,68.848,0
5290.920,-177.246,35.645,36.621,-82.520,19.043,0
5290.924,-88.379,33.691,32.715,-84.473,5.859,0
5290.928,16.113,32.715,35.645,-102.051,63.965,0
5290.932,-88.379,30.273,42.480,-140.625,82.520,0
5290.936,-263.672,27.832,46.875,-182.617,45.410,0
5290.940,-228.516,29.297,46.387,-186.523,19.531,0
5290.943,-78.125,23.438,43.457,-171.387,35.156,0
5290.947,-108.398,19.531,45.898,-184.082,16.113,0
5290.951,-266.113,24.902,51.270,-210.449,-31.250,0
5290.955,-270.508,23.438,48.828,-207.520,-31.738,0
5290.959,-114.258,18.555,43.457,-175.781,-22.949,0
5290.963,-57.129,19.531,38.086,-152.344,63.477,0
5290.967,-190.918,22.949,41.016,-167.480,57.129,0
5290.971,-250.488,25.879,41.992,-171.875,-41.504,0
5290.975,-113.281,22.949,29.785,-138.184,-22.461,0
5290.979,8.789,21.484,32.715,-98.145,58.105,0
5290.983,-90.332,26.367,46.387,-93.750,82.031,0
5290.986,-193.359,24.414,43.945,-97.168,84.473,0
5290.990,-82.520,18.066,41.016,-64.453,53.223,0
5290.994,82.520,20.020,41.016,-28.809,37.598,0
5290.998,39.062,26.367,40.039,-22.949,56.641,0
5291.002,-102.539,27.832,35.156,-32.227,-11.719,0
5291.006,-63.965,24.414,30.762,-18.555,-14.648,0
5291.010,104.492,24.902,28.320,20.508,24.902,0
5291.014,120.605,27.832,26.855,38.086,34.668,0
5291.018,-26.367,30.762,30.762,22.461,38.086,0
5291.022,-30.762,33.691,31.738,26.367,-31.738,0
5291.026,132.324,31.250,26.855,58.594,-13.672,0
5291.029,196.289,25.879,18.555,75.684,53.223,0
5291.033,57.129,28.320,16.602,68.359,36.621,0
5291.037,-19.043,28.809,20.508,64.453,11.719,0
5291.041,114.258,24.902,20.020,84.473,-7.812,0
5291.045,237.793,20.508,19.043,106.445,-8.789,0
5291.049,126.953,21.484,20.508,89.844,-22.461,0
5291.053,-8.301,27.344,20.508,67.383,15.137,0
5291.057,66.895,26.855,17.090,78.125,62.012,0
5291.061,211.426,23.438,14.160,100.098,88.379,0
5291.065,163.086,23.438,15.625,96.191,93.262,0
5291.068,7.812,23.926,18.555,70.312,55.176,0
5291.072,34.180,25.391,18.555,72.754,76.172,0
5291.076,200.195,22.949,15.137,96.191,69.824,0
5291.080,210.938,22.949,14.160,96.191,21.484,0
5291.084,50.293,27.344,20.996,72.266,3.906,0
5291.088,15.137,30.273,24.414,64.453,-42.480,0
5291.092,156.738,25.391,18.066,85.449,4.395,0
5291.096,223.145,20.020,15.625,95.215,85.449,0
5291.100,78.125,21.973,21.973,77.148,33.203,0
5291.104,-21.973,28.320,25.879,67.383,-30.762,0
5291.108,87.402,23.926,20.996,76.172,-1.465,0
5291.111,219.238,17.578,16.113,88.379,40.527,0
5291.115,124.023,21.973,18.066,77.148,-24.902,0
5291.119,-26.855,25.879,22.949,57.617,-25.879,0
5291.123,33.203,23.438,22.949,66.895,50.293,0
5291.127,193.848,19.531,21.484,88.867,16.602,0
5291.131,161.133,26.367,29.297,85.938,47.852,0
5291.135,-3.906,30.273,32.227,62.988,40.527,0
5291.139,-3.418,26.855,29.297,60.547,-19.531,0
5291.143,154.297,22.949,26.367,85.449,32.715,0
5291.147,188.965,20.020,23.926,95.215,42.480,0
5291.151,26.855,27.344,27.832,71.777,48.340,0
5291.154,-32.227,34.180,29.297,59.570,32.227,0
5291.158,104.980,30.273,20.508,71.777,5.371,0
5291.162,204.102,29.785,25.879,86.426,-0.977,0
5291.166,79.102,29.785,29.785,66.895,5.371,0
5291.170,-43.945,32.227,24.414,44.434,15.137,0
5291.174,55.664,34.180,26.367,61.035,0.488,0
5291.178,197.754,36.133,28.320,81.055,56.641,0
5291.182,109.863,37.109,28.809,62.988,71.289,0
5291.186,-63.477,31.250,26.367,24.902,18.555,0
5291.190,-23.438,28.320,27.832,20.508,12.695,0
5291.193,133.301,23.438,24.902,38.574,22.461,0
5291.197,95.703,29.297,28.320,20.508,37.109,0
5291.201,-82.520,41.504,35.645,-16.602,24.414,1
5291.205,-110.352,35.156,33.691,-34.668,10.254,0
5291.209,31.738,28.809,28.320,-27.344,69.824,0
5291.213,63.965,36.133,27.344,-31.738,82.520,0
5291.217,-115.234,38.574,30.273,-83.008,42.969,0
5291.221,-207.520,34.180,25.391,-121.582,19.043,0
5291.225,-93.750,37.598,19.531,-116.699,29.785,0
5291.229,-19.531,39.062,26.367,-121.582,29.297,0
5291.233,-154.785,38.574,37.109,-153.809,17.090,0
5291.236,-275.391,38.574,42.969,-176.758,41.504,0
5291.240,-179.199,35.156,36.133,-160.156,54.199,0
5291.244,-26.855,31.250,27.344,-136.230,26.855,0
5291.248,-81.543,34.180,36.133,-133.301,19.043,0
5291.252,-229.492,30.273,46.875,-145.020,22.461,0
5291.256,-179.199,25.391,46.387,-128.418,39.062,0
5291.260,2.930,30.762,41.992,-80.566,55.176,0
5291.264,18.066,34.180,39.551,-56.641,16.113,0
5291.268,-126.953,31.738,39.062,-63.477,-15.137,0
5291.272,-133.789,29.785,37.109,-44.922,-22.949,0
5291.276,38.574,28.320,31.250,-3.906,6.348,0
5291.279,119.629,27.344,28.320,22.461,11.230,0
5291.283,-1.953,29.297,35.645,21.973,5.371,0
5291.287,-80.566,28.320,28.320,14.160,11.719,0
5291.291,45.410,24.414,16.602,47.852,8.301,0
5291.295,180.176,24.902,20.996,84.473,24.414,0
5291.299,82.031,24.902,30.273,75.684,31.738,0
5291.303,-45.898,24.414,36.621,64.453,35.156,0
5291.307,40.039,29.785,31.738,87.402,41.016,0
5291.311,201.172,31.738,23.926,113.281,-6.836,0
5291.315,154.297,31.738,21.973,99.121,39.551,0
5291.318,-13.184,32.227,23.438,74.707,90.332,0
5291.322,8.301,28.809,23.438,77.637,22.461,0
5291.326,182.617,26.367,18.066,104.980,1.465,0
5291.330,200.684,29.297,20.508,113.770,11.230,0
5291.334,35.645,32.715,24.902,82.520,16.113,0
5291.338,-3.418,31.250,24.902,77.148,26.855,0
5291.342,148.438,29.785,21.973,105.957,36.133,0
5291.346,237.305,30.273,20.508,113.770,47.852,0
5291.350,104.492,31.250,23.926,90.820,43.945,0
5291.354,0.488,30.762,25.879,79.590,20.020,0
5291.358,107.422,29.297,22.949,99.121,17.578,0
5291.361,237.305,29.297,20.996,123.535,33.691,0
5291.365,146.973,28.809,23.438,114.746,21.973,0
5291.369,-1.953,31.250,24.414,86.914,-3.906,0
5291.373,55.664,29.785,23.438,91.309,-20.508,0
5291.377,205.566,26.367,23.926,123.047,2.441,0
5291.381,164.062,27.344,24.902,120.117,23.438,0
5291.385,-1.465,30.273,28.809,87.891,-2.930,0
5291.389,1.465,28.320,30.762,82.031,-7.324,0
5291.393,160.156,25.391,29.785,105.957,59.570,0
5291.397,194.824,24.414,32.227,113.281,71.289,0
5291.401,35.645,26.855,32.715,89.355,36.133,0
5291.404,-22.949,24.902,29.785,74.219,2.930,0
5291.408,113.281,19.043,25.391,95.703,-3.418,0
5291.412,200.684,18.066,24.902,110.840,30.273,0
5291.416,72.266,22.461,27.832,84.961,-23.926,0
5291.420,-34.668,24.902,30.762,69.824,-8.301,0
5291.424,69.336,26.367,27.832,90.820,74.707,0
5291.428,212.402,27.344,24.902,108.887,99.121,0
5291.432,130.859,28.320,27.344,92.773,89.355,0
5291.436,-30.273,34.180,30.762,69.336,-2.441,0
5291.440,15.625,30.762,30.273,80.566,-11.719,0
5291.443,168.457,24.902,23.438,95.215,55.176,0
5291.447,153.320,29.297,20.996,84.473,67.383,0
5291.451,-11.230,35.156,27.344,61.035,16.602,0
5291.455,-32.227,33.203,24.902,53.223,-20.508,0
5291.459,118.164,28.320,22.461,77.637,14.648,0
5291.463,156.250,28.320,25.879,78.125,16.602,0
5291.467,6.836,31.250,30.762,53.223,16.113,0
5291.471,-62.012,30.273,33.203,35.156,-34.668,0
5291.475,69.824,27.344,26.367,45.898,0.488,0
5291.479,176.270,25.879,25.391,70.801,72.754,0
5291.483,50.781,27.832,30.762,62.988,48.828,0
5291.486,-75.684,24.902,31.738,43.457,106.934,0
5291.490,16.113,21.973,30.273,56.641,95.703,0
5291.494,169.922,25.879,27.344,83.984,18.555,0
5291.498,98.633,29.297,29.785,71.289,27.344,0
5291.502,-61.523,32.227,33.203,39.062,70.312,0
5291.506,-17.578,31.250,30.273,45.410,94.238,0
5291.510,145.508,29.785,27.832,77.637,84.473,0
5291.514,145.508,29.785,29.785,82.520,50.781,0
5291.518,-19.043,32.715,29.297,60.059,35.645,0
5291.522,-48.828,31.738,25.879,48.828,44.922,0
5291.526,105.957,27.344,25.391,66.406,59.570,0
5291.529,167.969,26.367,29.297,81.543,38.086,0
5291.533,17.578,25.391,33.203,59.082,37.598,0
5291.537,-68.359,29.297,30.762,37.109,-0.488,0
5291.541,57.617,34.668,28.320,55.664,9.766,0
5291.545,176.270,34.668,27.832,73.730,47.852,0
5291.549,71.777,35.645,29.785,55.664,-14.648,0
5291.553,-61.523,36.133,33.691,29.785,-4.883,0
5291.557,11.230,34.180,35.156,40.039,55.664,0
5291.561,164.062,31.250,30.273,66.406,77.637,0
5291.565,117.188,30.762,29.297,57.129,49.805,0
5291.568,-40.527,34.180,33.203,37.598,-0.488,0
5291.572,-30.273,30.273,29.785,30.762,-19.531,0
5291.576,116.211,26.367,23.438,52.734,34.180,0
5291.580,131.836,30.762,26.367,57.129,89.355,0
5291.584,-29.297,30.762,31.738,30.273,39.062,0
5291.588,-70.801,25.391,30.762,28.320,-1.465,0
5291.592,75.195,21.973,25.879,41.016,19.531,0
5291.596,164.551,23.438,27.344,41.016,57.129,0
5291.600,27.832,29.297,31.250,21.484,56.152,0
5291.604,-84.473,30.273,31.738,9.766,66.406,0
5291.608,28.809,30.273,26.855,28.809,35.645,0
5291.611,155.273,31.738,27.832,49.805,6.348,0
5291.615,61.523,33.691,31.250,33.691,-7.812,0
5291.619,-84.961,35.156,30.762,8.301,-16.602,0
5291.623,-17.578,33.691,30.273,15.137,-5.371,0
5291.627,147.461,26.855,26.367,38.574,-4.883,0
5291.631,106.445,24.414,28.809,33.691,34.668,0
5291.635,-60.547,31.738,30.273,11.719,20.996,0
5291.639,-49.805,34.180,28.320,16.602,-17.090,0
5291.643,110.352,32.715,29.297,36.621,-2.441,0
5291.647,137.695,32.715,31.738,35.156,0.977,0
5291.651,-24.902,35.645,32.227,9.766,-1.465,0
5291.654,-79.590,36.133,27.832,-2.930,-0.977,0
5291.658,61.523,33.203,29.297,18.066,41.992,0
5291.662,152.344,31.738,28.320,37.109,94.238,0
5291.666,25.879,32.715,28.320,21.973,62.500,0
5291.670,-88.867,31.738,31.738,-1.953,9.766,0
5291.674,9.766,28.809,26.855,5.859,59.570,0
5291.678,159.180,24.902,22.461,30.762,39.551,0
5291.682,81.055,28.320,29.297,20.996,26.367,0
5291.686,-76.172,35.645,35.156,-3.418,34.180,0
5291.690,-19.043,31.738,30.273,9.277,51.758,0
5291.693,142.090,27.344,23.926,39.551,31.250,0
5291.697,115.234,34.668,30.273,33.203,11.719,0
5291.701,-52.734,41.016,37.109,7.812,19.043,0
5291.705,-63.477,38.574,33.203,7.324,-13.672,0
5291.709,95.703,37.109,30.273,33.203,24.902,0
5291.713,142.578,34.180,28.809,39.062,40.039,0
5291.717,-18.066,30.762,27.832,7.324,-4.395,0
5291.721,-92.773,29.785,26.367,-2.930,5.859,0
5291.725,41.992,25.879,22.461,15.137,62.500,0
5291.729,145.020,25.391,22.461,34.668,33.203,0
5291.733,33.691,29.785,29.297,20.508,-51.758,0
5291.736,-82.031,29.785,28.809,1.465,-8.789,0
5291.740,-4.883,22.949,25.391,17.578,12.695,0
5291.744,142.578,23.438,23.438,43.945,59.082,0
5291.748,84.961,30.762,27.344,36.621,99.609,0
5291.752,-73.730,32.715,32.715,10.254,1.953,0
5291.756,-42.969,29.297,27.832,9.766,-5.371,0
5291.760,112.793,27.344,22.949,37.109,68.848,0
5291.764,110.840,26.855,24.414,48.340,103.516,0
5291.768,-52.734,30.762,29.297,23.926,77.148,0
5291.772,-76.660,29.297,27.832,15.137,26.855,0
5291.776,75.195,25.391,23.438,39.551,39.062,0
5291.779,142.090,28.809,24.414,57.617,105.469,0
5291.783,3.418,32.227,28.320,39.062,70.312,0
5291.787,-89.844,29.785,29.297,9.766,12.207,0
5291.791,32.715,28.809,25.391,25.391,38.574,0
5291.795,159.668,27.832,23.926,53.223,44.922,0
5291.799,56.641,25.391,27.832,42.969,25.879,0
5291.803,-80.566,30.762,30.762,21.973,31.250,0
5291.807,-10.742,29.297,25.879,23.926,4.395,0
5291.811,140.137,24.902,20.996,45.898,0.977,0
5291.815,91.309,30.273,23.438,44.434,39.062,0
5291.818,-70.801,33.691,27.344,19.531,41.016,0
5291.822,-50.293,32.227,28.809,18.066,39.062,0
5291.826,111.328,31.250,24.414,38.574,44.922,0
5291.830,127.441,32.715,25.391,42.969,20.508,0
5291.834,-40.527,33.691,31.250,21.484,-11.719,1
5291.838,-89.355,31.738,31.250,14.160,45.898,0
5291.842,59.570,29.785,27.832,36.133,35.645,0
5291.846,145.020,29.297,30.273,50.781,-12.207,0
5291.850,4.883,28.320,32.227,30.273,15.625,0
5291.854,-102.539,28.320,29.297,16.602,26.855,0
5291.858,14.160,29.297,26.367,39.551,-0.488,0
5291.861,153.320,29.297,29.297,62.500,8.301,0
5291.865,68.848,31.738,34.668,54.688,54.199,0
5291.869,-74.219,34.668,35.156,34.668,30.762,0
5291.873,-22.949,30.762,29.785,35.156,-13.672,0
5291.877,139.648,24.902,26.855,62.988,-1.465,0
5291.881,108.887,27.344,31.738,68.359,81.055,0
5291.885,-62.500,29.297,33.691,34.180,55.176,0
5291.889,-53.223,25.391,30.273,34.668,-26.367,0
5291.893,110.352,24.902,28.809,64.941,0.000,0
5291.897,140.625,25.879,33.203,66.895,21.484,0
5291.901,-17.578,29.297,37.598,35.156,45.410,0
5291.904,-79.102,27.832,38.574,15.137,51.758,0
5291.908,48.340,21.484,34.668,25.879,27.832,0
5291.912,140.137,25.879,29.785,38.086,-7.812,0
5291.916,26.367,31.738,33.203,20.020,11.719,0
5291.920,-92.773,35.156,35.645,1.953,68.359,0
5291.924,-0.977,35.156,27.832,6.348,71.777,0
5291.928,147.949,35.156,23.926,23.926,72.266,0
5291.932,70.312,36.133,27.832,22.461,10.742,0
5291.936,-81.055,32.715,29.297,0.488,-21.484,0
5291.940,-26.855,31.250,29.297,14.648,11.719,0
5291.943,136.719,29.297,29.785,45.898,23.926,0
5291.947,118.164,26.367,27.832,33.203,52.734,0
5291.951,-41.992,26.855,31.250,7.812,21.973,0
5291.955,-55.176,25.391,31.250,6.836,-16.602,0
5291.959,97.656,24.414,27.832,32.227,29.785,0
5291.963,147.461,25.879,26.855,45.410,54.199,0
5291.967,-8.301,28.809,29.297,18.555,52.246,0
5291.971,-87.402,25.391,30.762,-3.906,6.348,0
5291.975,38.086,21.484,24.414,18.555,26.855,0
5291.979,154.297,21.484,21.484,47.852,70.312,0
5291.983,45.410,23.438,29.785,31.250,17.090,0
5291.986,-82.031,23.926,32.227,8.301,6.348,0
5291.990,9.277,21.484,28.320,13.184,23.926,0
5291.994,156.738,21.484,26.367,37.598,24.414,0
5291.998,86.426,24.414,29.785,42.969,42.969,0
5292.002,-64.941,26.367,34.180,25.879,27.344,0
5292.006,-30.762,22.949,29.785,25.391,59.570,0
5292.010,125.977,16.602,23.926,44.434,16.602,0
5292.014,124.512,12.695,27.832,47.363,44.434,0
5292.018,-48.340,10.254,33.691,22.949,74.707,0
5292.022,-76.172,9.277,32.227,21.973,32.227,0
5292.026,78.125,8.301,25.391,42.969,62.500,0
5292.029,144.531,10.254,26.855,58.594,17.090,0
5292.033,0.977,15.137,29.297,40.527,-7.812,0
5292.037,-93.262,12.695,26.855,7.324,-6.348,0
5292.041,27.832,10.254,31.250,24.902,-13.672,0
5292.045,148.926,7.812,31.250,48.340,55.664,0
5292.049,49.316,9.766,33.691,26.367,39.551,0
5292.053,-89.355,10.742,37.109,9.277,-14.160,0
5292.057,-23.438,6.836,31.738,18.066,-15.625,0
5292.061,132.812,6.836,29.297,40.039,-0.488,0
5292.065,85.938,10.254,29.297,31.738,49.805,0
5292.068,-81.055,14.160,29.785,-2.441,71.777,0
5292.072,-62.988,15.625,27.832,-1.465,28.809,0
5292.076,104.980,14.648,24.414,22.461,7.812,0
5292.080,128.418,14.648,27.832,20.508,38.086,0
5292.084,-32.227,16.113,31.250,-16.113,47.363,0
5292.088,-79.102,18.555,31.250,-21.973,14.648,0
5292.092,66.895,16.602,29.297,4.883,26.855,0
5292.096,148.926,15.137,25.391,15.625,19.531,0
5292.100,5.859,20.996,30.762,-0.488,15.137,0
5292.104,-100.098,22.949,34.668,-11.230,38.574,0
5292.108,8.789,18.066,28.809,3.418,56.641,0
5292.111,146.484,17.090,23.926,17.090,88.379,0
5292.115,58.105,24.902,24.902,1.953,76.660,0
5292.119,-89.844,31.250,28.320,-19.043,58.594,0
5292.123,-28.809,30.762,29.297,-9.766,25.391,0
5292.127,129.395,28.320,26.855,24.414,24.414,0
5292.131,101.562,30.273,28.809,25.391,28.809,0
5292.135,-56.152,34.668,33.691,2.441,36.133,0
5292.139,-52.246,36.621,32.715,6.836,57.617,0
5292.143,104.004,36.133,26.367,25.879,17.578,0
5292.147,137.695,35.156,27.832,31.250,-37.109,0
5292.151,-22.461,37.598,32.715,5.859,-21.973,0
5292.154,-83.496,36.621,30.273,-5.371,25.391,0
5292.158,59.570,32.227,24.902,18.066,65.430,0
5292.162,158.691,31.738,25.391,36.621,51.758,0
5292.166,34.668,33.203,32.227,21.973,19.531,0
5292.170,-85.938,33.203,36.133,-0.488,12.695,0
5292.174,10.742,32.715,35.156,11.719,27.832,0
5292.178,151.855,37.598,33.203,36.133,34.180,0
5292.182,73.730,42.969,33.691,28.809,24.902,0
5292.186,-83.008,42.969,32.715,1.465,14.160,0
5292.190,-38.574,41.016,28.320,-0.488,14.160,0
5292.193,124.512,38.574,22.949,22.949,36.621,0
5292.197,111.816,37.109,21.973,21.484,77.637,0
5292.201,-53.223,36.621,25.879,-5.371,88.379,0
5292.205,-65.430,34.180,26.367,-3.418,103.027,0
5292.209,92.773,29.785,19.531,22.949,93.262,0
5292.213,141.602,29.785,22.461,32.227,73.242,0
5292.217,-13.184,34.180,27.832,9.766,57.129,0
5292.221,-91.309,35.645,29.297,0.000,37.109,0
5292.225,43.457,32.715,35.156,27.832,51.270,0
5292.229,151.367,30.273,32.715,45.898,33.203,0
5292.233,29.785,31.250,29.785,22.461,-23.926,0
5292.236,-95.703,31.738,31.738,2.441,-30.762,0
5292.240,-9.277,28.809,28.809,19.531,4.883,0
